M_feature,mz,rt
FT203,353.1478164,121.3632488
FT204,354.1311762,171.8527464
FT205,354.1316252,251.3287874
FT206,355.1350008,251.9814952
FT207,355.1622653,364.6368792
FT208,355.1630384,455.7312338
FT209,355.199934,113.6521098
FT210,356.1468603,621.372497
FT211,356.1467826,711.0923214
FT212,356.1466538,463.2499385
FT213,356.1472157,293.8017455
FT214,358.1262076,103.3977074
FT215,358.1816926,606.3381818
FT216,358.2002525,100.6966928
FT217,358.1994049,498.6162608
FT218,359.1577438,68.1861554
FT219,360.1783776,86.79023041
FT220,361.2257317,1579.4124
FT221,362.051237,126.6217486
FT222,364.152608,84.54722218
FT223,364.2001676,70.70851271
FT224,365.0346669,41.553
FT225,368.9763643,1808.825385
FT226,369.1779264,452.5180018
FT227,370.1622674,665.4819229
FT228,370.1628305,776.2600948
FT229,374.1579657,141.841479
FT230,374.1594886,297.3126104
FT231,375.1169617,57.5058489
FT232,376.1895673,200.4893992
FT233,377.0857666,54.97320315
FT234,377.2726777,1894.580327
FT235,378.0892617,54.99894548
FT236,379.0837532,54.99894548
FT237,381.1735517,41.00233333
FT238,382.1983927,1258.389646
FT239,383.1891868,2053.539496
FT240,383.1902004,1844.19839
FT241,383.2299739,577.0590759
FT242,384.2328925,577.3512862
FT243,384.935445,41.91580556
FT244,385.1366751,86.79023041
FT245,386.0342263,91.37049831
FT246,386.121019,110.8231937
FT247,387.0773616,62.66093879
FT248,387.1151197,50.93678872
FT249,389.0943541,62.8285
FT250,389.1318949,62.8285
FT251,390.1165222,77.80926974
FT252,395.1936528,810.408033
FT253,397.2466388,621.4017583
FT254,399.1892875,84.54722218
FT255,399.1897606,391.3840374
FT256,400.9096071,43.32382353
FT257,402.0062534,1605.631793
FT258,403.0324003,40.53490278
FT259,403.3058511,1833.742103
FT260,406.1630552,118.363116
FT261,409.060811,58.92806957
FT262,409.2459238,233.8273901
FT263,412.1130543,91.37049831
FT264,412.2201878,167.6915605
FT265,413.2235967,169.5366595
FT266,415.1832482,100.9749595
FT267,416.1321753,251.8934804
FT268,416.8826584,43.037
FT269,417.0481966,41.24966667
FT270,418.0504892,41.00233333
FT271,419.0052814,43.037
FT272,425.2055645,648.2095201
FT273,425.2768441,766.9415898
FT274,426.2359771,146.910547
FT275,426.9674144,1710.815368
FT276,427.1832663,773.400062
FT277,427.2375993,144.9401088
FT278,427.9701778,1710.397964
FT279,428.963491,1712.162825
FT280,429.2390568,95.30644298
FT281,431.177916,344.2277774
FT282,431.1830454,1639.255159
FT283,431.2295345,733.2891765
FT284,432.1271543,149.7060717
FT285,433.0218966,41.76180556
FT286,434.8715015,2205.068759
FT287,435.1451562,41.00233333
FT288,435.1887109,95.30644298
FT289,437.2776962,896.2518787
FT290,439.0857352,55.05552559
FT291,440.2513976,129.7958845
FT292,441.2560527,129.6547176
FT293,442.2310035,139.602856
FT294,443.1793607,614.5779621
FT295,443.2329165,139.8098864
FT296,447.1336264,1715.464996
FT297,447.2248149,445.6348052
FT298,449.1496444,1675.361807
FT299,449.1610975,41.12240278
FT300,452.0990701,247.8827219
FT301,452.9229104,41.60780556
FT302,453.1992108,779.5559232
FT303,453.1991869,654.1963902
FT304,453.7819181,2289.50066
FT305,454.202297,653.904898
FT306,454.2045614,782.3710467
FT307,454.2699344,694.4257327
FT308,455.2149712,303.9240821
FT309,459.1555059,594.0932754
FT310,459.202203,1646.980088
FT311,459.2277147,728.4083657
FT312,459.2578885,31.39633333
FT313,459.3262595,2021.849115
FT314,460.3289844,2011.783215
FT315,461.1906579,215.8093568
FT316,468.2842145,495.6270147
FT317,468.8963659,42.77090278
FT318,470.1897514,430.9652784
FT319,470.1916467,125.3504316
FT320,470.2264302,142.4102481
FT321,470.8961951,43.037
FT322,471.0189896,41.553
FT323,473.2075794,824.287954
FT324,475.1514126,127.7937859
FT325,475.2044764,100.5698707
FT326,475.2232608,228.6712369
FT327,475.2905095,1728.554082
FT328,476.1518561,124.1151318
FT329,476.2976043,1728.554082
FT330,479.2515567,1386.760988
FT331,482.2998064,769.9244069
FT332,483.2462864,715.9316782
FT333,484.2416973,112.7801117
FT334,484.2423799,211.4966458
FT335,484.8702609,43.51008333
FT336,485.0352294,41.24966667
FT337,486.0383854,41.00233333
FT338,486.9932494,43.037
FT339,487.2566856,795.4223373
FT340,488.2013148,77.80926974
FT341,489.202246,322.7124496
FT342,489.2353104,756.6342816
FT343,489.2712469,798.6234246
FT344,490.2052502,328.5362636
FT345,491.1642306,60.10373862
FT346,494.2616028,953.1913779
FT347,496.2087836,804.5796178
FT348,499.2037869,756.9247758
FT349,500.208045,759.1221149
FT350,501.0092577,41.60780556
FT351,501.3117961,1766.338541
FT352,502.2157917,383.6306939
FT353,503.1325168,41.00233333
FT354,503.2885017,888.9161598
FT355,503.3225651,1790.773247
FT356,504.3259784,1790.628483
FT357,505.1786562,59.80482889
FT358,505.1985014,526.4254902
FT359,505.3311835,2032.730065
FT360,505.333297,1789.884689
FT361,506.2363055,313.1791673
FT362,509.2625108,1356.268467
FT363,512.271574,890.9502998
FT364,512.2730948,589.7311106
FT365,513.2321867,119.6811322
FT366,514.2916521,305.3534228
FT367,516.2305553,368.1473332
FT368,516.9820079,43.037
FT369,517.1476569,40.95
FT370,517.2148887,133.4553955
FT371,517.3066023,1539.822033
FT372,518.2188853,133.4553955
FT373,519.1583063,110.6951617
FT374,520.9102769,41.91580556
FT375,523.2513405,785.1680459
FT376,525.1972621,167.9743309
FT377,525.1973969,637.998336
FT378,526.2155522,641.8977114
FT379,527.2514399,1359.311477
FT380,528.2546544,1357.334852
FT381,528.2823302,996.2384987
FT382,529.2855587,996.2384987
FT383,529.3383053,1822.652298
FT384,530.2942128,30.02780556
FT385,531.3530971,1844.368499
FT386,533.1214493,41.00233333
FT387,534.2935461,1226.134565
FT388,535.1531451,54.99894548
FT389,536.8841493,42.35980556
FT390,537.1683382,52.54918904
FT391,538.2287981,433.7280122
FT392,539.0071778,42.295
FT393,539.1403951,54.99894548
FT394,539.2353797,426.348873
FT395,540.1735065,84.54722218
FT396,540.2337256,547.3770544
FT397,541.2666791,298.4358941
FT398,543.2422697,174.5367759
FT399,543.2793971,151.2688048
FT400,544.2263083,158.5692367
FT401,544.2851193,150.284767
FT402,545.2316327,157.5641827
FT403,545.2405478,616.2573173
FT404,550.2159024,188.8473115
FT405,550.2160096,333.2327344
FT406,550.3616298,1116.541323
FT407,551.2824267,888.3350093
FT408,551.3198639,697.4490046
FT409,551.3203012,828.2712178
FT410,552.3226673,697.4490046
FT411,552.8586711,43.51008333
FT412,553.0229527,41.60780556
FT413,553.2303337,660.7597827
FT414,553.2608802,641.5570415
FT415,554.9815487,41.553
FT416,556.2741763,105.1444103
FT417,556.314976,927.6630262
FT418,557.2583072,488.1302013
FT419,557.2768344,103.3977074
