M_feature,mz,rt
FT0198,304.6747769,618.9185674
FT0199,305.0735292,546.0385132
FT0200,305.1033809,643.7023926
FT0201,305.1158719,581.4754028
FT0202,305.1505167,628.9334717
FT0203,306.0786823,547.2537842
FT0204,306.185489,646.3231812
FT0205,307.1518309,627.515377
FT0206,307.6064751,553.5114136
FT0207,308.159346,628.9334717
FT0208,308.6097094,554.8980247
FT0209,309.1721775,616.4440674
FT0210,309.2118625,599.165
FT0211,309.6729674,613.8381653
FT0212,309.7108263,599.165
FT0213,310.1371571,643.8928223
FT0214,310.1662426,599.165
FT0215,310.6677556,599.165
FT0216,311.1666813,599.165
FT0217,311.6443881,586.546
FT0218,311.6667204,599.165
FT0219,312.1560105,591.7646675
FT0220,312.188052,554.8980247
FT0221,312.1845442,653.8887329
FT0222,312.6525953,651.3669888
FT0223,313.096498,581.406
FT0224,313.1455625,652.6368103
FT0225,313.6445142,651.332
FT0226,314.1006517,580.1458711
FT0227,314.1675378,611.404
FT0228,314.2041424,596.8132935
FT0229,314.6032187,581.4754028
FT0230,314.6499583,651.3668823
FT0231,315.0992357,581.4407014
FT0232,315.2076068,596.755
FT0233,315.6013997,581.4754028
FT0234,315.6476061,568.4630837
FT0235,315.6646962,628.833
FT0236,315.6632713,544.7421875
FT0237,316.1506345,653.8887329
FT0238,316.1661938,628.833
FT0239,316.2193896,631.303
FT0240,316.664658,569.7974514
FT0241,318.6757634,611.404
FT0242,319.659447,607.5651245
FT0243,320.1595225,608.925
FT0244,320.6552805,584.0252075
FT0245,320.6643452,651.3317871
FT0246,321.1558721,578.827
FT0247,321.656293,651.332
FT0248,322.1391687,626.383
FT0249,322.1581495,653.8887329
FT0250,322.1749246,573.6345825
FT0251,322.6591189,651.3317871
FT0252,323.4196909,543.4588013
FT0253,324.1537413,618.874
FT0254,324.6548595,618.874
FT0255,325.1586709,618.9185674
FT0256,325.6555729,621.414
FT0257,326.1676373,589.0095234
FT0258,326.6864949,615.2094788
FT0259,327.1630341,643.7023926
FT0260,327.168351,643.773
FT0261,327.1888341,631.4135742
FT0262,327.2125248,553.6880493
FT0263,328.0188912,614.013855
FT0264,328.0799591,573.7163086
FT0265,328.2206051,551.1182861
FT0266,328.6182756,618.9631348
FT0267,328.6739444,638.8878086
FT0268,329.1645946,638.843
FT0269,329.2231698,551.1182861
FT0270,329.6652393,637.5581577
FT0271,330.0525184,573.7163086
FT0272,330.0539065,626.383
FT0273,330.1402695,613.7554932
FT0274,330.165092,591.7646675
FT0275,330.1732199,636.2733154
FT0276,330.2261752,545.982605
FT0277,330.2349411,581.406
FT0278,330.6679993,589.1946411
FT0279,331.2402717,580.0659485
FT0280,331.66487,633.7347153
FT0281,332.109227,648.7850342
FT0282,332.1673284,633.753
FT0283,332.2144108,621.3401794
FT0284,332.6451801,651.4019775
FT0285,333.1063313,653.862
FT0286,333.1360968,584.0252075
FT0287,333.158847,618.874
FT0288,333.2179305,608.9639282
FT0289,333.609477,653.862
FT0290,333.6387262,650.0970303
FT0291,333.6624184,618.9185674
FT0292,334.1114278,586.546
FT0293,334.1424195,624.0130615
FT0294,334.1779095,651.4019775
FT0295,334.662964,618.874
FT0296,334.6968578,638.843
FT0297,335.0881589,646.252
FT0298,335.6491486,576.0996094
FT0299,335.6953557,638.843
FT0300,336.1337399,592.8779658
FT0301,336.1880384,565.9482422
FT0302,336.1994032,638.9326172
FT0303,336.6895487,636.2733154
FT0304,336.6975455,651.4019775
FT0305,337.1391475,608.8743591
FT0306,337.1728181,548.4690552
FT0307,337.1932824,565.9176211
FT0308,337.1943582,651.332
FT0309,337.6782603,638.843
FT0310,338.1427432,583.996
FT0311,338.1798295,638.843
FT0312,338.1973536,568.5379028
FT0313,338.6798971,637.5581577
FT0314,339.6810322,626.3836365
FT0315,340.146969,623.8177227
FT0316,340.1547501,586.546
FT0317,340.2581706,655.1719167
FT0318,340.6312701,650.0618936
FT0319,340.655659,585.1576741
FT0320,341.1454223,636.3927002
FT0321,341.1749317,571.0059814
FT0322,341.6384158,638.9326172
FT0323,341.6787015,569.7928772
FT0324,342.139774,638.8878086
FT0325,342.2325346,571.1265869
FT0326,342.6439068,638.9326172
FT0327,343.1785537,586.3262329
FT0328,343.1962944,616.4939575
FT0329,343.2346356,596.2099907
FT0330,343.6661322,586.6049805
FT0331,343.6771941,642.4894663
FT0332,344.1469011,618.6981812
FT0333,344.1799506,562.2835837
FT0334,344.6138198,618.9631348
FT0335,344.6695616,583.996
FT0336,345.1282407,618.874
FT0337,345.1819865,559.8001709
FT0338,345.218679,563.4282227
